0;0;0;0;land;false;unknown;0
1;153;133;244;land;false;forest;1
2;222;234;90;land;false;plains;1
3;87;207;225;land;false;forest;1
4;245;200;96;land;false;plains;1
5;230;250;119;land;false;hills;1
6;105;253;143;land;false;plains;1
7;220;245;97;land;false;plains;1
8;211;105;196;land;false;forest;1
9;145;243;162;land;true;plains;1
10;251;244;133;land;true;plains;1
11;117;224;242;land;false;plains;1
12;200;201;124;land;false;plains;1
13;242;224;56;land;true;plains;1
14;254;219;246;land;false;plains;1
15;248;240;39;land;false;plains;1
16;224;253;166;land;false;forest;1
17;215;250;205;land;false;plains;1
18;120;240;252;land;false;plains;1
19;106;218;206;land;false;plains;1
20;250;74;252;land;false;plains;1
21;247;127;153;land;false;plains;1
22;222;171;130;land;true;plains;1
23;152;145;253;land;false;plains;1
24;248;151;186;land;false;plains;1
25;225;243;253;land;false;plains;1
26;172;146;236;land;false;forest;1
27;204;228;93;land;false;plains;1
28;54;208;248;land;true;forest;1
29;57;244;200;land;false;mountain;1
30;63;219;241;land;false;plains;1
31;213;70;247;land;false;plains;1
32;173;163;195;land;true;forest;1
33;209;216;213;land;false;plains;1
34;146;251;194;land;false;hills;1
35;154;244;156;land;false;forest;1
36;228;245;203;land;false;plains;1
37;238;230;249;land;false;hills;1
38;206;244;66;land;false;plains;1
39;231;172;248;land;true;forest;1
40;241;116;252;land;false;plains;1
41;227;115;191;land;false;plains;1
42;228;133;240;land;false;plains;1
43;228;154;122;land;false;plains;1
44;194;194;194;land;false;jungle;1
45;221;90;228;land;true;plains;1
46;244;232;225;land;false;urban;1
47;119;212;228;land;false;plains;1
48;161;218;124;land;false;forest;1
49;176;171;243;land;false;hills;1
50;225;227;210;land;false;marsh;1
51;25;248;237;land;true;plains;1
52;253;238;217;land;true;plains;1
53;170;234;101;land;false;plains;1
54;245;163;176;land;false;plains;1
55;217;51;244;land;false;forest;1
56;160;193;200;land;false;plains;1
57;248;241;251;land;false;plains;1
58;168;225;197;land;false;plains;1
59;158;214;212;land;false;desert;1
60;231;146;164;land;false;jungle;1
61;250;105;239;land;false;plains;1
62;64;232;212;land;false;plains;1
63;236;37;242;land;false;urban;1
