1;industrial_complex;817.00;10.30;1412.00;4.11;0
1;industrial_complex;830.00;10.53;1414.00;0.49;0
1;industrial_complex;819.00;9.88;1438.00;3.15;0
1;industrial_complex;818.00;10.05;1419.00;6.18;0
1;industrial_complex;833.00;10.40;1422.00;1.10;0
1;industrial_complex;821.00;9.95;1448.00;5.22;0
1;arms_factory;826.00;10.43;1413.00;3.06;0
1;arms_factory;833.00;10.30;1432.00;3.16;0
1;arms_factory;829.00;10.15;1425.00;1.00;0
1;arms_factory;831.00;10.38;1420.00;3.67;0
1;arms_factory;830.00;10.10;1440.00;0.05;0
1;arms_factory;824.00;9.98;1429.00;1.61;0
1;air_base;832.00;10.07;1445.00;0.65;0
1;naval_base;816.00;9.50;1440.00;-0.32;16727
1;naval_base;819.00;9.65;1428.00;-1.89;16727
1;naval_base;811.00;9.90;1421.00;-2.82;16727
1;bunker;832.00;10.63;1413.00;0.56;0
1;bunker;838.00;10.43;1433.00;2.12;0
1;bunker;816.00;10.25;1413.00;6.24;0
1;bunker;824.00;10.00;1439.00;1.17;0
1;bunker;828.00;10.10;1428.00;5.29;0
1;bunker;831.00;10.20;1436.00;0.57;0
1;coastal_bunker;815.00;9.90;1422.00;-2.82;0
1;coastal_bunker;815.00;9.57;1451.00;-2.45;0
1;coastal_bunker;817.00;9.65;1427.00;-1.89;0
1;dockyard;817.00;9.65;1427.00;-1.89;0
1;anti_air_building;824.00;10.00;1428.00;1.68;0
1;anti_air_building;835.00;10.43;1428.00;5.80;0
1;anti_air_building;835.00;10.20;1443.00;0.72;0
1;synthetic_refinery;810.00;9.90;1416.00;3.74;0
1;fuel_silo;833.00;10.30;1434.00;0.12;0
1;radar_station;826.00;10.00;1431.00;3.96;0
1;rocket_site;820.00;10.13;1419.00;4.35;0
1;nuclear_reactor;828.00;10.07;1442.00;2.19;0
2;industrial_complex;793.00;10.10;1486.00;3.15;0
2;industrial_complex;803.00;10.05;1474.00;6.18;0
