1;375.00;9.70;1404.00;small
1;328.00;9.90;1479.00;small
2;665.00;10.00;1497.00;small
2;566.00;10.20;1489.00;small
3;453.00;9.90;1428.00;small
3;526.00;10.40;1366.00;small
4;819.00;9.80;1357.00;small
4;684.00;10.20;1350.00;small
5;836.00;9.90;1487.00;small
5;745.00;10.10;1497.00;small
6;986.00;10.40;1312.00;small
6;891.00;10.40;1342.00;small
7;949.00;10.40;1504.00;big
7;1031.00;10.40;1481.00;big
8;821.00;10.00;1635.00;big
9;445.00;10.30;1001.00;big
9;287.00;10.50;975.00;big
10;537.00;10.00;1076.00;big
10;594.00;10.20;1158.00;big
11;390.00;10.40;1188.00;big
11;464.00;10.15;1148.00;big
12;677.00;10.00;1019.00;big
12;835.00;13.53;919.00;big
12;723.00;10.30;973.00;big
12;776.00;10.10;929.00;big
12;738.00;10.30;1028.00;big
13;813.00;10.23;1050.00;big
13;917.00;11.03;998.00;big
14;728.00;10.30;1300.00;big
14;752.00;10.20;1246.00;big
14;746.00;10.00;1268.00;big
14;687.00;10.40;1210.00;big
14;708.00;9.50;1131.00;big
14;633.00;10.90;1244.00;big
14;690.00;10.60;1282.00;big
14;639.00;10.30;1306.00;big
14;747.00;10.10;1199.00;big
15;816.00;10.35;1265.00;big
15;888.00;12.85;1184.00;big
16;1022.00;12.65;1141.00;big
16;1009.00;10.57;1154.00;big
